datetime,Open,High,Low,Close,Volume,OI
2025-09-01 09:15:00+05:30,53658.15,53902.75,53658.15,53884.2,0,0
2025-09-01 09:20:00+05:30,53889.2,53938.05,53844.95,53920.6,0,0
2025-09-01 09:25:00+05:30,53922.2,53941.05,53894.15,53938.9,0,0
2025-09-01 09:30:00+05:30,53938.65,53972.8,53895.75,53963.75,0,0
2025-09-01 09:35:00+05:30,53961.85,53982.55,53948.45,53955.3,0,0
2025-09-01 09:40:00+05:30,53956.6,53964.95,53923.25,53949.1,0,0
2025-09-01 09:45:00+05:30,53948.3,53980.95,53933.2,53933.85,0,0
2025-09-01 09:50:00+05:30,53935.0,53988.25,53932.8,53979.8,0,0
2025-09-01 09:55:00+05:30,53979.8,53985.3,53925.55,53951.65,0,0
2025-09-01 10:00:00+05:30,53952.25,53954.15,53908.85,53922.2,0,0
2025-09-01 10:05:00+05:30,53921.35,53925.2,53866.95,53891.6,0,0
2025-09-01 10:10:00+05:30,53893.9,53903.65,53864.15,53864.15,0,0
2025-09-01 10:15:00+05:30,53860.9,53896.4,53848.7,53848.7,0,0
2025-09-01 10:20:00+05:30,53848.5,53855.65,53781.2,53792.6,0,0
2025-09-01 10:25:00+05:30,53800.2,53834.8,53794.1,53823.3,0,0
2025-09-01 10:30:00+05:30,53823.5,53826.5,53775.5,53777.5,0,0
2025-09-01 10:35:00+05:30,53775.7,53788.55,53755.75,53771.5,0,0
2025-09-01 10:40:00+05:30,53771.0,53815.75,53766.25,53804.0,0,0
2025-09-01 10:45:00+05:30,53818.0,53865.35,53799.5,53849.05,0,0
2025-09-01 10:50:00+05:30,53849.55,53858.35,53809.05,53809.85,0,0
2025-09-01 10:55:00+05:30,53810.35,53842.15,53798.4,53840.0,0,0
2025-09-01 11:00:00+05:30,53842.25,53864.75,53828.9,53855.25,0,0
2025-09-01 11:05:00+05:30,53856.25,53858.05,53809.0,53827.9,0,0
2025-09-01 11:10:00+05:30,53830.3,53855.45,53821.55,53829.15,0,0
2025-09-01 11:15:00+05:30,53828.8,53832.7,53802.75,53816.5,0,0
2025-09-01 11:20:00+05:30,53821.35,53837.05,53799.45,53812.95,0,0
2025-09-01 11:25:00+05:30,53812.15,53837.8,53812.15,53837.8,0,0
2025-09-01 11:30:00+05:30,53840.5,53857.7,53809.35,53822.7,0,0
2025-09-01 11:35:00+05:30,53823.4,53832.35,53804.0,53807.4,0,0
2025-09-01 11:40:00+05:30,53807.4,53811.45,53793.25,53800.75,0,0
2025-09-01 11:45:00+05:30,53800.05,53807.45,53766.5,53769.45,0,0
2025-09-01 11:50:00+05:30,53770.8,53781.6,53749.05,53752.75,0,0
2025-09-01 11:55:00+05:30,53754.45,53759.05,53717.7,53718.55,0,0
2025-09-01 12:00:00+05:30,53721.6,53761.65,53717.0,53731.8,0,0
2025-09-01 12:05:00+05:30,53731.35,53789.35,53728.75,53781.45,0,0
2025-09-01 12:10:00+05:30,53782.3,53794.75,53773.0,53788.95,0,0
2025-09-01 12:15:00+05:30,53789.05,53804.35,53768.2,53788.95,0,0
2025-09-01 12:20:00+05:30,53790.05,53807.9,53761.4,53798.6,0,0
2025-09-01 12:25:00+05:30,53804.2,53845.4,53801.6,53839.45,0,0
2025-09-01 12:30:00+05:30,53840.25,53848.8,53829.1,53833.8,0,0
2025-09-01 12:35:00+05:30,53834.55,53878.7,53823.5,53852.9,0,0
2025-09-01 12:40:00+05:30,53850.25,53876.5,53841.45,53860.45,0,0
2025-09-01 12:45:00+05:30,53860.75,53885.7,53848.15,53869.25,0,0
2025-09-01 12:50:00+05:30,53868.8,53889.2,53850.95,53875.25,0,0
2025-09-01 12:55:00+05:30,53875.05,53883.4,53849.4,53871.2,0,0
2025-09-01 13:00:00+05:30,53870.1,53899.8,53851.75,53895.25,0,0
2025-09-01 13:05:00+05:30,53894.85,53914.85,53889.9,53912.9,0,0
2025-09-01 13:10:00+05:30,53912.9,53919.05,53886.4,53917.5,0,0
2025-09-01 13:15:00+05:30,53916.1,53938.85,53910.75,53921.15,0,0
2025-09-01 13:20:00+05:30,53919.85,53930.05,53902.9,53904.85,0,0
2025-09-01 13:25:00+05:30,53904.05,53917.95,53878.9,53910.05,0,0
2025-09-01 13:30:00+05:30,53913.85,53949.95,53909.45,53932.0,0,0
2025-09-01 13:35:00+05:30,53934.0,53947.95,53921.5,53937.7,0,0
2025-09-01 13:40:00+05:30,53939.75,53944.85,53903.15,53908.65,0,0
