datetime,High,Low,Close,DI+,DI-,ADX,NetDI,NetDI_MA9,Sentiment,MACD,Signal,Histogram,MACD_Sentiment_5,MiddleBB,UpperBB,LowerBB,BB_Width,BB_Sentiment
2025-09-01 09:28:00+05:30,53926.75,53899.3,53904.5,18.048743680676914,6.375914887195338,,11.672828793481575,,Sideways,20.54,15.66,4.88,Sideways,,,,,Sideways
2025-09-01 09:29:00+05:30,53941.05,53894.15,53938.9,26.00252451694487,8.204680066025759,,17.79784445091911,,Sideways,22.59,17.05,5.54,Bullish,,,,,Sideways
2025-09-01 09:30:00+05:30,53938.65,53924.05,53936.45,27.613432992948212,8.89567322876084,,18.71775976418737,,Sideways,23.73,18.38,5.35,Bullish,,,,,Sideways
2025-09-01 09:31:00+05:30,53959.8,53927.4,53927.4,30.598006644519714,9.357696566998742,,21.240310077520974,,Sideways,23.64,19.44,4.21,Sideways,,,,,Sideways
2025-09-01 09:32:00+05:30,53931.65,53895.75,53931.3,24.4444444444464,17.196044211751065,,7.248400232695335,,Sideways,23.61,20.27,3.34,Sideways,,,,,Sideways
2025-09-01 09:33:00+05:30,53957.65,53926.25,53952.4,31.998534977415925,17.140764253449547,,14.857770723966379,,Sideways,25.0,21.22,3.78,Sideways,,,,,Sideways
2025-09-01 09:34:00+05:30,53972.8,53951.75,53963.75,36.23296158612301,17.397769516729078,,18.835192069393933,,Sideways,26.71,22.32,4.39,Sideways,53902.0375,53977.58579668218,53826.48920331782,151.09659336436016,Sideways
2025-09-01 09:35:00+05:30,53965.85,53948.45,53955.4,37.163192679208365,14.323843416371004,,22.83934926283736,,Sideways,27.08,23.27,3.81,Sideways,53907.990000000005,53980.443110790075,53835.536889209936,144.90622158013866,Sideways
2025-09-01 09:36:00+05:30,53982.55,53956.3,53979.85,34.12614980289307,14.809461235217784,,19.316688567675286,16.947349326964147,Sideways,29.01,24.42,4.59,Sideways,53914.9575,53986.88281415148,53843.03218584851,143.85062830297102,Sideways
2025-09-01 09:37:00+05:30,53982.0,53956.65,53964.25,31.61255987227434,14.994678020224667,,16.61788185204967,17.496799666805046,Sideways,28.95,25.32,3.62,Sideways,53919.6875,53991.50959654857,53847.86540345143,143.64419309713412,Sideways
2025-09-01 09:38:00+05:30,53975.0,53953.7,53962.55,26.577437858510432,16.197760174817827,,10.379677683692606,16.67255891489099,Sideways,28.43,25.94,2.49,Sideways,53925.5,53990.83835820276,53860.16164179724,130.67671640551998,Sideways
2025-09-01 09:39:00+05:30,53976.3,53953.05,53955.3,27.12890356307881,14.238547255469975,,12.890356307608837,16.025069641937822,Sideways,27.13,26.18,0.95,Sideways,53929.05500000001,53992.6454982972,53865.464501702816,127.18099659438303,Sideways
2025-09-01 09:40:00+05:30,53960.7,53938.9,53944.5,26.11456176673877,18.191856452728064,,7.922705314010706,14.545335779325569,Sideways,24.93,25.93,-1.0,Sideways,53933.175,53988.66119079034,53877.68880920966,110.97238158067921,Sideways
2025-09-01 09:41:00+05:30,53953.15,53923.25,53946.25,25.152884871048027,21.683063015157916,34.80121041548233,3.4698218558901104,14.12549373745832,Sideways,23.07,25.36,-2.29,Sideways,53937.215000000004,53982.826068601265,53891.60393139874,91.2221372025233,Sideways
2025-09-01 09:42:00+05:30,53954.15,53929.05,53934.15,25.57859531772876,18.1137123745847,32.607921469302816,7.464882943144058,13.304061761811397,Sideways,20.38,24.36,-3.98,Sideways,53939.06,53980.674440813396,53897.4455591866,83.22888162679737,Sideways
